industry,pe,ps,pfcf,unlevered_beta,capex_sales
Advertising,25.51,1.64,,1.10,0.02
Aerospace/Defense,35.27,3.17,,1.00,0.04
Air Transport,12.87,0.58,,1.20,0.15
Apparel,27.09,1.27,,0.90,0.03
Auto & Truck,119.62,3.34,,1.20,0.05
Auto Parts,20.23,0.64,,1.10,0.04
Bank (Money Center),14.17,4.09,,0.55,
Banks (Regional),12.60,3.67,,0.50,
Beverage (Alcoholic),16.57,1.75,,0.65,0.05
Beverage (Soft),26.25,3.57,,0.70,0.05
Broadcasting,13.47,0.83,,0.90,
Brokerage & Investment Banking,19.80,2.87,,0.90,
Building Materials,17.12,1.68,,1.05,0.05
Business & Consumer Services,24.15,2.20,,0.95,0.02
Cable TV,5.06,0.86,,0.85,0.15
Chemical (Basic),18.40,0.47,,1.00,0.06
Chemical (Diversified),,0.34,,1.10,0.06
Chemical (Specialty),23.18,2.12,,1.05,0.04
Coal & Related Energy,19.75,2.75,,1.00,0.12
Computer Services,26.06,1.24,,1.00,0.02
Computers/Peripherals,34.33,6.43,,1.10,0.03
Construction Supplies,25.80,2.83,,1.10,0.04
Diversified,16.80,2.85,,0.80,
Drugs (Biotechnology),32.05,7.31,,1.10,0.03
Drugs (Pharmaceutical),24.95,5.63,,0.90,0.04
Education,15.04,1.74,,0.90,0.03
Electrical Equipment,47.25,4.09,,1.10,0.04
Electronics (Consumer & Office),,0.96,,1.00,0.03
Electronics (General),40.20,3.02,,1.05,0.03
Engineering/Construction,24.83,1.58,,1.00,0.02
Entertainment,32.46,3.87,,1.05,
Environmental & Waste Services,34.29,3.09,,0.90,0.10
Farming/Agriculture,21.98,0.92,,0.80,
Financial Svcs. (Non-bank & Insurance),22.08,5.22,,0.70,
Food Processing,16.50,1.05,,0.60,0.04
Food Wholesalers,24.66,0.31,,0.70,0.02
Furn/Home Furnishings,25.18,0.98,,0.95,0.03
Green & Renewable Energy,25.95,3.76,,0.90,0.20
Healthcare Products,30.35,4.36,,0.95,0.04
Healthcare Support Services,21.07,0.37,,0.80,0.02
Heathcare Information and Technology,37.27,4.70,,1.05,0.02
Homebuilding,11.25,1.07,,1.10,0.02
Hospitals/Healthcare Facilities,15.61,1.08,,0.80,0.06
Hotel/Gaming,24.71,3.26,,1.10,0.08
Household Products,19.66,2.67,,0.70,0.04
Information Services,23.56,1.70,,0.95,0.02
Insurance (General),27.34,3.53,,0.70,
Insurance (Life),11.82,0.95,,0.80,
Insurance (Prop/Cas.),11.78,1.36,,0.60,
Investments & Asset Management,22.99,4.59,,0.90,
Machinery,26.64,3.08,,1.00,0.04
Metals & Mining,29.45,3.81,,1.10,0.10
Office Equipment & Services,18.18,1.02,,1.00,0.03
Oil/Gas (Integrated),19.02,1.58,,0.95,0.15
Oil/Gas (Production and Exploration),12.68,2.00,,1.10,0.25
Oil/Gas Distribution,18.55,2.78,,0.85,0.15
Oilfield Svcs/Equip.,19.41,0.57,,1.15,0.05
Packaging & Container,13.94,1.03,,0.80,0.05
Paper/Forest Products,14.50,0.76,,0.90,0.06
Power,20.98,2.74,,0.60,0.20
Precious Metals,18.55,5.84,,1.10,0.12
Publishing & Newspapers,16.72,1.47,,0.90,0.02
R.E.I.T.,28.10,5.89,,0.70,0.20
Real Estate (Development),13.38,1.77,,1.00,
Real Estate (General/Diversified),19.37,4.82,,0.90,
Real Estate (Operations & Services),43.84,1.24,,1.00,0.03
Recreation,18.18,1.26,,1.05,0.05
Reinsurance,15.42,0.60,,0.70,
Restaurant/Dining,32.79,3.34,,1.00,0.05
Retail (Automotive),24.02,0.89,,1.00,0.02
Retail (Building Supply),22.31,1.85,,1.10,0.03
Retail (Distributors),22.43,1.51,,1.00,0.02
Retail (General),33.49,2.01,,1.00,0.03
Retail (Grocery and Food),25.23,0.34,,0.60,0.03
Retail (REITs),31.10,7.82,,0.70,0.20
Retail (Special Lines),24.91,1.43,,1.10,0.03
Rubber& Tires,,0.14,,0.90,0.05
Semiconductor,48.81,15.46,,1.50,0.13
Semiconductor Equip,34.18,7.49,,1.40,0.03
Shipbuilding & Marine,13.67,1.45,,1.00,0.05
Shoe,30.47,1.95,,1.00,0.02
Software (Entertainment),29.62,9.01,,1.15,0.02
Software (Internet),34.82,8.76,,1.30,0.02
Software (System & Application),37.52,11.01,,1.20,0.02
Steel,24.07,0.99,,1.10,0.06
Telecom (Wireless),19.49,2.48,,0.85,0.15
Telecom. Equipment,35.08,6.13,,1.10,0.03
Telecom. Services,8.02,1.39,,0.75,0.15
Tobacco,19.81,5.30,,0.65,0.03
Transportation,13.35,1.27,,1.00,0.10
Transportation (Railroads),20.87,5.26,,1.00,0.17
Trucking,32.67,1.42,,1.00,0.10
Utility (General),20.48,2.90,,0.40,0.20
Utility (Water),20.22,4.43,,0.45,0.20
